2025-05-09 15:44:36 [info]: 	Connected to database successfully 
2025-05-09 15:44:36 [info]: 	Server is running on port 5000 in development mode 
2025-05-09 16:00:01 [info]: 	Connected to database successfully 
2025-05-09 16:00:01 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:27:21 [info]: 	Connected to database successfully 
2025-05-09 16:27:21 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:31:14 [info]: 	Connected to database successfully 
2025-05-09 16:31:14 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:31:17 [info]: 	Connected to database successfully 
2025-05-09 16:31:17 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:32:03 [info]: 	Connected to database successfully 
2025-05-09 16:32:03 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:32:06 [info]: 	Connected to database successfully 
2025-05-09 16:32:06 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:32:19 [info]: 	Connected to database successfully 
2025-05-09 16:32:19 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:32:34 [info]: 	Connected to database successfully 
2025-05-09 16:32:34 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:35:40 [info]: 	Connected to database successfully 
2025-05-09 16:35:40 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:36:33 [info]: 	Connected to database successfully 
2025-05-09 16:36:33 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:36:36 [info]: 	Connected to database successfully 
2025-05-09 16:36:36 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:37:15 [info]: 	Connected to database successfully 
2025-05-09 16:37:15 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:37:17 [info]: 	Connected to database successfully 
2025-05-09 16:37:17 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:37:30 [info]: 	Connected to database successfully 
2025-05-09 16:37:30 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:37:44 [info]: 	Connected to database successfully 
2025-05-09 16:37:44 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:38:03 [info]: 	Connected to database successfully 
2025-05-09 16:38:03 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:40:01 [info]: 	Connected to database successfully 
2025-05-09 16:40:01 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:42:01 [info]: 	Connected to database successfully 
2025-05-09 16:42:01 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:42:11 [info]: 	Connected to database successfully 
2025-05-09 16:42:11 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:42:43 [info]: 	Connected to database successfully 
2025-05-09 16:42:43 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:43:02 [info]: 	Connected to database successfully 
2025-05-09 16:43:02 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:44:24 [info]: 	Connected to database successfully 
2025-05-09 16:44:24 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:44:35 [info]: 	Connected to database successfully 
2025-05-09 16:44:35 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:44:49 [info]: 	Connected to database successfully 
2025-05-09 16:44:49 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:45:11 [info]: 	Connected to database successfully 
2025-05-09 16:45:11 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:45:25 [info]: 	Connected to database successfully 
2025-05-09 16:45:25 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:45:46 [info]: 	Connected to database successfully 
2025-05-09 16:45:46 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:46:44 [info]: 	Connected to database successfully 
2025-05-09 16:46:44 [info]: 	Server is running on port 3000 in development mode 
2025-05-09 16:56:21 [info]: 	Connected to database successfully 
2025-05-09 16:56:21 [info]: 	Server is running on port 3000 in development mode 
